Linux frea03.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Linux frea05.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Clock tick is 1.000e-06

trial,msglen,compsize
000,0000001,000

trial,iter,ticks
000,001,00132
000,002,00067
000,003,00091
000,004,00066
000,005,00057
000,006,00057
000,007,00055
000,008,00056
000,009,00056

trial,msglen,compsize
001,0000001,000

trial,iter,ticks
001,001,00044
001,002,00047
001,003,00056
001,004,00056
001,005,00056
001,006,00082
001,007,00071
001,008,00060
001,009,00056

trial,msglen,compsize
002,0000001,000

trial,iter,ticks
002,001,00045
002,002,00049
002,003,00058
002,004,00057
002,005,00053
002,006,00056
002,007,00102
002,008,00025
002,009,00099

trial,msglen,compsize
003,0000001,000

trial,iter,ticks
003,001,00046
003,002,00099
003,003,00051
003,004,00059
003,005,00060
003,006,00055
003,007,00057
003,008,00058
003,009,00051

trial,msglen,compsize
004,0000001,000

trial,iter,ticks
004,001,00062
004,002,00058
004,003,00057
004,004,00056
004,005,00069
004,006,00058
004,007,00058
004,008,00057
004,009,00056

trial,msglen,compsize
005,0000001,000

trial,iter,ticks
005,001,00046
005,002,00060
005,003,00058
005,004,00056
005,005,00059
005,006,00057
005,007,00526
005,008,00064
005,009,00098

trial,msglen,compsize
006,0000001,000

trial,iter,ticks
006,001,00092
006,002,00101
006,003,00051
006,004,00054
006,005,00060
006,006,00057
006,007,00057
006,008,00059
006,009,00057

trial,msglen,compsize
007,0000001,000

trial,iter,ticks
007,001,00065
007,002,00056
007,003,00057
007,004,00056
007,005,00073
007,006,00059
007,007,00058
007,008,00057
007,009,00056

trial,msglen,compsize
008,0000001,000

trial,iter,ticks
008,001,00046
008,002,00051
008,003,00059
008,004,00056
008,005,00056
008,006,00056
008,007,00527
008,008,00086
008,009,00125

trial,msglen,compsize
009,0000001,000

trial,iter,ticks
009,001,00092
009,002,00053
009,003,00061
009,004,00044
009,005,00057
009,006,00057
009,007,00056
009,008,00056
009,009,00056

trial,msglen,compsize
010,0000001,000

trial,iter,ticks
010,001,00055
010,002,00065
010,003,00043
010,004,00058
010,005,00056
010,006,00056
010,007,00057
010,008,00056
010,009,00058

trial,msglen,compsize
011,0000002,000

trial,iter,ticks
011,001,00046
011,002,00056
011,003,00528
011,004,00050
011,005,00131
011,006,00123
011,007,00125
011,008,00119
011,009,00124

trial,msglen,compsize
012,0000002,000

trial,iter,ticks
012,001,00092
012,002,00074
012,003,00061
012,004,00057
012,005,00059
012,006,00057
012,007,00059
012,008,00060
012,009,00057

trial,msglen,compsize
013,0000002,000

trial,iter,ticks
013,001,00056
013,002,00067
013,003,00044
013,004,00055
013,005,00057
013,006,00057
013,007,00055
013,008,00055
013,009,00054

trial,msglen,compsize
014,0000002,000

trial,iter,ticks
014,001,00046
014,002,00056
014,003,00482
014,004,00125
014,005,00128
014,006,00121
014,007,00124
014,008,00120
014,009,00124

trial,msglen,compsize
015,0000002,000

trial,iter,ticks
015,001,00092
015,002,00051
015,003,00060
015,004,00058
015,005,00057
015,006,00057
015,007,00097
015,008,00051
015,009,00059

trial,msglen,compsize
016,0000003,000

trial,iter,ticks
016,001,00046
016,002,00057
016,003,00058
016,004,00058
016,005,00056
016,006,00058
016,007,00058
016,008,00058
016,009,00067

trial,msglen,compsize
017,0000003,000

trial,iter,ticks
017,001,00047
017,002,00056
017,003,00056
017,004,00056
017,005,00058
017,006,00058
017,007,00057
017,008,00057
017,009,00056

trial,msglen,compsize
018,0000003,000

trial,iter,ticks
018,001,00494
018,002,00085
018,003,00128
018,004,00121
018,005,00123
018,006,00122
018,007,00126
018,008,00120
018,009,00128

trial,msglen,compsize
019,0000003,000

trial,iter,ticks
019,001,00097
019,002,00049
019,003,00058
019,004,00056
019,005,00058
019,006,00058
019,007,00056
019,008,00056
019,009,00056

trial,msglen,compsize
020,0000004,000

trial,iter,ticks
020,001,00053
020,002,00060
020,003,00058
020,004,00058
020,005,00058
020,006,00060
020,007,00056
020,008,00058
020,009,00043

trial,msglen,compsize
021,0000004,000

trial,iter,ticks
021,001,00046
021,002,00529
021,003,00046
021,004,00126
021,005,00123
021,006,00128
021,007,00128
021,008,00124
021,009,00119

trial,msglen,compsize
022,0000004,000

trial,iter,ticks
022,001,00089
022,002,00051
022,003,00060
022,004,00086
022,005,00075
022,006,00043
022,007,00059
022,008,00058
022,009,00056

trial,msglen,compsize
023,0000004,000

trial,iter,ticks
023,001,00051
023,002,00070
023,003,00044
023,004,00059
023,005,00056
023,006,00050
023,007,00089
023,008,00063
023,009,00061

trial,msglen,compsize
024,0000005,000

trial,iter,ticks
024,001,00046
024,002,00057
024,003,00056
024,004,00057
024,005,00056
024,006,00056
024,007,00059
024,008,00056
024,009,00526

trial,msglen,compsize
025,0000005,000

trial,iter,ticks
025,001,00144
025,002,00055
025,003,00064
025,004,00060
025,005,00059
025,006,00058
025,007,00056
025,008,00109
025,009,00050

trial,msglen,compsize
026,0000006,000

trial,iter,ticks
026,001,00063
026,002,00058
026,003,00057
026,004,00055
026,005,00056
026,006,00056
026,007,00058
026,008,00042
026,009,00056

trial,msglen,compsize
027,0000006,000

trial,iter,ticks
027,001,00063
027,002,00056
027,003,00056
027,004,00057
027,005,00056
027,006,00056
027,007,00055
027,008,00054
027,009,00055

trial,msglen,compsize
028,0000006,000

trial,iter,ticks
028,001,00045
028,002,00524
028,003,00087
028,004,00124
028,005,00121
028,006,00127
028,007,00121
028,008,00123
028,009,00119

trial,msglen,compsize
029,0000007,000

trial,iter,ticks
029,001,00092
029,002,00074
029,003,00061
029,004,00092
029,005,00067
029,006,00043
029,007,00056
029,008,00058
029,009,00061

trial,msglen,compsize
030,0000008,000

trial,iter,ticks
030,001,00046
030,002,00057
030,003,00056
030,004,00056
030,005,00056
030,006,00077
030,007,00069
030,008,00059
030,009,00058

trial,msglen,compsize
031,0000008,000

trial,iter,ticks
031,001,00063
031,002,00056
031,003,00057
031,004,00050
031,005,00059
031,006,00056
031,007,00056
031,008,00058
031,009,00524

trial,msglen,compsize
032,0000009,000

trial,iter,ticks
032,001,00095
032,002,00060
032,003,00063
032,004,00059
032,005,00056
032,006,00057
032,007,00057
032,008,00084
032,009,00072

trial,msglen,compsize
033,0000009,000

trial,iter,ticks
033,001,00046
033,002,00058
033,003,00057
033,004,00059
033,005,00056
033,006,00058
033,007,00057
033,008,00061
033,009,00059

trial,msglen,compsize
034,0000010,000

trial,iter,ticks
034,001,00066
034,002,00061
034,003,00057
034,004,00061
034,005,00056
034,006,00056
034,007,00056
034,008,00074
034,009,00043

trial,msglen,compsize
035,0000011,000

trial,iter,ticks
035,001,00479
